SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,BANDING_CODES,ORDER,FAMILY_COM_NAME,4-Letter-Code (IBP),Common Name (IBP),6-Letter-Code (IBP),中文名,英文名,Common Name (BBL),4-Letter-Code (BBL),Name_Diff,Code_Diff,Common-Names,4-Letter-Code
Struthio camelus,Common Ostrich,ostric2,species,,Struthioniformes,Ostriches,,,,,,,,,,Common Ostrich,
Struthio molybdophanes,Somali Ostrich,ostric3,species,,Struthioniformes,Ostriches,,,,,,,,,,Somali Ostrich,
Casuarius casuarius,Southern Cassowary,soucas1,species,,Casuariiformes,Cassowaries and Emu,,,,,,,,,,Southern Cassowary,
Casuarius bennetti,Dwarf Cassowary,dwacas1,species,,Casuariiformes,Cassowaries and Emu,,,,,,,,,,Dwarf Cassowary,
Casuarius unappendiculatus,Northern Cassowary,norcas1,species,,Casuariiformes,Cassowaries and Emu,,,,,,,,,,Northern Cassowary,
Dromaius novaehollandiae,Emu,emu1,species,,Casuariiformes,Cassowaries and Emu,,,,,,,,,,Emu,
Apteryx australis,Southern Brown Kiwi,sobkiw1,species,,Apterygiformes,Kiwis,,,,,,,,,,Southern Brown Kiwi,
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,species,,Apterygiformes,Kiwis,,,,,,,,,,Okarito Brown Kiwi,
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,species,,Apterygiformes,Kiwis,,,,,,,,,,North Island Brown Kiwi,
Apteryx australis x mantelli,Southern Brown x North Island Brown Kiwi (hybrid),x01217,hybrid,,Apterygiformes,Kiwis,,,,,,,,,,Southern Brown x North Island Brown Kiwi (hybrid),
Apteryx owenii,Little Spotted Kiwi,liskiw1,species,,Apterygiformes,Kiwis,,,,,,,,,,Little Spotted Kiwi,
Apteryx rowi x owenii,Okarito Brown x Little Spotted Kiwi (hybrid),x01059,hybrid,,Apterygiformes,Kiwis,,,,,,,,,,Okarito Brown x Little Spotted Kiwi (hybrid),
Apteryx maxima,Great Spotted Kiwi,grskiw1,species,,Apterygiformes,Kiwis,,,,,,,,,,Great Spotted Kiwi,
Rhea americana,Greater Rhea,grerhe1,species,,Rheiformes,Rheas,,,,,,,,,,Greater Rhea,
Rhea pennata,Lesser Rhea,lesrhe2,species,,Rheiformes,Rheas,,,,,,,,,,Lesser Rhea,
Tinamotis pentlandii,Puna Tinamou,puntin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Puna Tinamou,
Tinamotis ingoufi,Patagonian Tinamou,pattin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Patagonian Tinamou,
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Quebracho Crested-Tinamou,
Eudromia elegans,Elegant Crested-Tinamou,elctin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Elegant Crested-Tinamou,
Taoniscus nanus,Dwarf Tinamou,dwatin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Dwarf Tinamou,
Nothura boraquira,White-bellied Nothura,whbnot1,species,,Tinamiformes,Tinamous,,,,,,,,,,White-bellied Nothura,
Nothura minor,Lesser Nothura,lesnot1,species,,Tinamiformes,Tinamous,,,,,,,,,,Lesser Nothura,
Nothura darwinii,Darwin's Nothura,darnot1,species,,Tinamiformes,Tinamous,,,,,,,,,,Darwin's Nothura,
Nothura maculosa,Spotted Nothura,sponot1,species,,Tinamiformes,Tinamous,,,,,,,,,,Spotted Nothura,
Rhynchotus maculicollis,Huayco Tinamou,huatin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Huayco Tinamou,
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Red-winged Tinamou,
Nothoprocta cinerascens,Brushland Tinamou,brutin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Brushland Tinamou,
Nothoprocta pentlandii,Andean Tinamou,andtin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Andean Tinamou,
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Curve-billed Tinamou,
Nothoprocta ornata,Ornate Tinamou,orntin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Ornate Tinamou,
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Taczanowski's Tinamou,
Nothoprocta perdicaria,Chilean Tinamou,chitin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Chilean Tinamou,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Tawny-breasted Tinamou,
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Hooded Tinamou,
Nothocercus bonapartei,Highland Tinamou,higtin1,species,HITI,Tinamiformes,Tinamous,HITI,Highland Tinamou,NOTBON,,,,,,,Highland Tinamou,HITI
Tinamus major,Great Tinamou,gretin1,species,GRTI,Tinamiformes,Tinamous,GRTI,Great Tinamou,TINMAJ,,,,,,,Great Tinamou,GRTI
Tinamus solitarius,Solitary Tinamou,soltin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Solitary Tinamou,
Tinamus tao,Gray Tinamou,grytin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Gray Tinamou,
Tinamus guttatus,White-throated Tinamou,whttin1,species,,Tinamiformes,Tinamous,,,,,,,,,,White-throated Tinamou,
Tinamus osgoodi,Black Tinamou,blatin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Black Tinamou,
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Berlepsch's Tinamou,
Crypturellus cinereus,Cinereous Tinamou,cintin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Cinereous Tinamou,
Crypturellus ptaritepui,Tepui Tinamou,teptin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Tepui Tinamou,
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Small-billed Tinamou,
Crypturellus tataupa,Tataupa Tinamou,tattin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Tataupa Tinamou,
Crypturellus obsoletus,Brown Tinamou,brotin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Brown Tinamou,
Crypturellus variegatus,Variegated Tinamou,vartin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Variegated Tinamou,
Crypturellus bartletti,Bartlett's Tinamou,bartin2,species,,Tinamiformes,Tinamous,,,,,,,,,,Bartlett's Tinamou,
Crypturellus casiquiare,Barred Tinamou,bartin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Barred Tinamou,
Crypturellus brevirostris,Rusty Tinamou,rustin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Rusty Tinamou,
Crypturellus soui,Little Tinamou,littin1,species,LITI,Tinamiformes,Tinamous,LITI,Little Tinamou,CRYSOU,,,,,,,Little Tinamou,LITI
Crypturellus undulatus,Undulated Tinamou,undtin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Undulated Tinamou,
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Yellow-legged Tinamou,
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Black-capped Tinamou,
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Pale-browed Tinamou,
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,species,THTI,Tinamiformes,Tinamous,THTI,Thicket Tinamou,CRYCIN,,,,,,,Thicket Tinamou,THTI
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,species,SBTI,Tinamiformes,Tinamous,SBTI,Slaty-breasted Tinamou,CRYBOU,,,,,,,Slaty-breasted Tinamou,SBTI
Crypturellus kerriae,Choco Tinamou,chotin1,species,CHTI,Tinamiformes,Tinamous,CHTI,Choco Tinamou,CRYKER,,,,,,,Choco Tinamou,CHTI
Crypturellus erythropus,Red-legged Tinamou,reltin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Red-legged Tinamou,
Crypturellus duidae,Gray-legged Tinamou,gyltin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Gray-legged Tinamou,
Crypturellus strigulosus,Brazilian Tinamou,bratin1,species,,Tinamiformes,Tinamous,,,,,,,,,,Brazilian Tinamou,
Anhima cornuta,Horned Screamer,horscr1,species,,Anseriformes,Screamers,,,,,,,,,,Horned Screamer,
Chauna torquata,Southern Screamer,souscr1,species,,Anseriformes,Screamers,,,,,,,,,,Southern Screamer,
Chauna chavaria,Northern Screamer,norscr1,species,,Anseriformes,Screamers,,,,,,,,,,Northern Screamer,
Anseranas semipalmata,Magpie Goose,maggoo1,species,,Anseriformes,Magpie Goose,,,,,,,,,,Magpie Goose,
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1,species,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Spotted Whistling-Duck,
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1,species,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Plumed Whistling-Duck,
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1,species,WFWD,Anseriformes,"Ducks, Geese, and Waterfowl",WFWD,White-faced Whistling-Duck,DENVID,,,,,,,White-faced Whistling-Duck,WFWD
Dendrocygna guttata x viduata,Spotted x White-faced Whistling-Duck (hybrid),x00721,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Spotted x White-faced Whistling-Duck (hybrid),
Dendrocygna eytoni x viduata,Plumed x White-faced Whistling-Duck (hybrid),x01218,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,Plumed x White-faced Whistling-Duck (hybrid),
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,species,BBWD,Anseriformes,"Ducks, Geese, and Waterfowl",BBWD,Black-bellied Whistling-Duck,DENAUT,,,Black-bellied Whistling-Duck,BBWD,,,Black-bellied Whistling-Duck,BBWD
Dendrocygna viduata x autumnalis,White-faced x Black-bellied Whistling-Duck (hybrid),x01141,hybrid,,Anseriformes,"Ducks, Geese, and Waterfowl",,,,,,,,,,White-faced x Black-bellied Whistling-Duck (hybrid),
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1,species,WIWD,Anseriformes,"Ducks, Geese, and Waterfowl",WIWD,West Indian Whistling-Duck,DENARB,,,West Indian Whistling-Duck,WIWD,,,West Indian Whistling-Duck,WIWD
